LE,gammaE,loglik
30.345535,0.5321736,-71.713745
19.218071,0.7796278,-72.077415
16.29465,0.6721643,-72.35622
12.361251,0.5343493,-73.49805
21.271223,0.81471485,-72.19789
21.59306,0.7893721,-72.03523
16.824997,0.5951584,-72.464554
34.05294,0.6172252,-71.53354
21.42939,0.5517722,-72.11177
23.61821,0.48904496,-72.26103
22.788483,0.53329027,-72.08769
23.872276,0.70180076,-71.67809
19.48478,0.73530424,-71.95151
33.648365,0.40641078,-72.32858
24.910213,0.5483883,-71.87813
30.354906,0.84005004,-73.393524
24.606134,0.5561618,-71.863495
21.628323,0.596571,-71.92249
19.764553,0.64577,-71.96116
24.95435,0.56476176,-71.80965
19.44305,0.6081138,-72.09071
30.941761,0.51154554,-71.78453
26.55679,0.57667375,-71.68992
30.8325,0.6874241,-71.66672
15.940731,0.7191262,-72.37241
19.811674,0.76497424,-71.99313
44.92042,0.5904535,-71.749374
40.147022,0.59054315,-71.60419
30.287321,0.6889107,-71.6577
16.30295,0.7456925,-72.32197
31.477076,0.7924728,-72.71127
15.985164,0.662119,-72.42382
18.457184,0.6536162,-72.08808
23.11696,0.5653356,-71.92272
61.438534,0.44057426,-71.9341
70.23614,0.27888405,-72.912445
68.918816,0.23250595,-73.41125
10.655485,0.5067523,-73.99051
9.211734,0.40478325,-74.60658
9.457572,0.38832447,-74.59332
14.8891115,0.642469,-72.66092
25.335983,0.8473035,-72.78557
25.335983,0.8473035,-72.78557
11.958071,0.8341312,-73.40102
44.738724,0.5807899,-71.70705
27.89348,0.7071376,-71.67963
26.697998,0.53070015,-71.86153
26.588085,0.6095201,-71.60695
33.237152,0.5443029,-71.60669
43.09429,0.5921284,-71.6923
29.016243,0.6935372,-71.64665
40.358635,0.5423196,-71.585785
41.169918,0.6159821,-71.71901
21.871195,0.72852457,-71.79622
27.445742,0.66068965,-71.56189
22.127207,0.6064983,-71.85305
18.083315,0.77207494,-72.14511
19.620176,0.78056175,-72.05682
23.951567,0.76666385,-71.91144
17.883312,0.6548063,-72.15699
18.132685,0.74063915,-72.08386
32.78114,0.5445775,-71.61322
32.78114,0.5445775,-71.61322
30.927038,0.65745634,-71.565765
31.916452,0.5479618,-71.61876
12.382866,0.71183914,-73.15725
9.250224,0.7402969,-74.28219
30.185034,0.35716262,-72.83064
16.281237,0.42082033,-73.3482
10.977574,0.7178968,-73.59431
9.465336,0.7851737,-74.2314
14.662944,1.0759021,-75.456985
27.985699,0.4151423,-72.48483
60.350037,0.4962877,-71.910614
50.75653,0.35674727,-72.38407
58.922745,0.18616842,-74.066666
13.0737915,0.79508364,-73.01465
33.673077,0.61067694,-71.523445
76.328674,0.3245701,-72.51193
29.069874,0.603583,-71.550415
20.967972,0.73192585,-71.846466
17.848375,0.7373543,-72.11193
21.86791,0.7223352,-71.784256
17.906992,0.59664375,-72.30978
26.864594,0.5301247,-71.85615
21.71868,0.692715,-71.76167
42.68593,0.6639338,-72.14928
25.125551,0.6028066,-71.681274
18.51263,0.72621274,-72.03139
27.3344,0.6712998,-71.576065
24.990932,0.6145148,-71.66125
30.319298,0.67283565,-71.598816
28.25331,0.59643614,-71.58099
32.12174,0.7391441,-72.10257
