eqid,num_recs,magnitude,E,EA,EAS
1098,85,3.68,-102.60212959006498,-102.26950501592435,-102.3944066957661
1099,47,3.7,-61.760246438812274,-62.27179426177676,-61.88646449605906
1100,47,3.7,-67.56001658875718,-65.64411246346143,-66.49352016012156
1101,117,3.7,-141.53341152404442,-142.54209025526788,-143.4042486147114
1103,67,3.74,-86.9206242566673,-85.56344053253282,-86.02708949605906
1107,43,3.78,-50.384180551759144,-49.982541845248576,-49.96902217428172
1108,80,3.9,-142.53640928844635,-144.1375618857036,-143.48716487447703
1110,60,3.86,-78.96249692805408,-76.64848200165494,-76.83766688863719
1113,83,3.99,-95.74508453442934,-96.64312849156637,-96.89996089498484
1118,44,4.06,-55.98845631594459,-55.76270393999961,-55.39725245992625
1123,54,3.6,-66.38155879915352,-66.93364048711796,-66.11732615987742
1125,90,3.6,-95.42393610850084,-95.64124505512542,-94.13284053365672
1128,74,3.64,-95.94464786121776,-94.71859946428553,-94.78841151754344
1130,67,3.71,-83.31389390477558,-83.96223619433397,-83.26540126363719
1131,41,3.58,-51.012753013377065,-50.18667066190069,-50.65809001485789
1132,61,3.64,-75.35799372607244,-75.63291820684522,-76.07731380025828
1134,57,3.64,-79.61187533098416,-78.16000310753816,-77.21799983541453
1135,57,3.74,-68.75874295094032,-68.0394015784137,-68.73663844625437
1137,68,3.5,-90.5432512602406,-91.29534641452732,-91.8591283754536
1138,87,3.5,-112.48223057892838,-113.66401003679074,-114.41203822652781
1139,52,3.61,-64.13698443237993,-64.89637179543605,-64.02171840230906
1140,69,3.69,-116.15615618035791,-115.1596077081436,-113.872533221645
1145,41,3.49,-50.01186629934644,-48.68625573684564,-49.08192576925242
1146,56,3.6,-94.81008214471476,-93.08517836073398,-92.70347346822703
1151,42,3.52,-53.320148274387506,-53.06542859207144,-52.705258746547344
1152,83,3.53,-99.63961428851616,-99.4915373479099,-99.98549403707469
1154,51,3.53,-91.84842843665189,-90.02503484707982,-90.21216334859812
1156,40,3.56,-52.014700426487906,-51.18535643293703,-51.90103663961375
1160,62,3.4,-73.19737132571147,-73.49609298428922,-73.40736140768016
1163,47,3.62,-57.10688006169349,-56.33558489342846,-56.667111773891094
1166,41,3.4,-48.668268443424594,-49.53133423202951,-49.82939662496531
1170,67,3.41,-84.14416330366264,-84.6878667711141,-84.18105830709422
1178,62,4.04,-81.1772117247563,-80.1784938836208,-80.73330440084422
1186,83,5.19,-110.8098693937133,-109.74622375040651,-110.48524989644969
1190,49,4.2,-55.960548698340546,-55.251811953490076,-55.04346599142039
1221,152,4.05,-182.94059720241023,-183.66462723147828,-184.48458613912547
1264,49,3.43,-61.85670006995949,-61.92844769968461,-61.5224241213032
