recid,eqid,magnitude,region,station_longitude,station_latitude,epi_dist,epi_azimuth,vs30,scaled_deltaW
15278,1110,3.86,CALIFORNIA,-118.14918,33.9753,74.43444854574464,-1.904724794575928,273.32,-0.3632671437131048
15279,1110,3.86,CALIFORNIA,-118.86775,34.80762,151.79348236693895,-1.1014400983567576,303.0,0.1536265979437535
15280,1110,3.86,CALIFORNIA,-117.943,33.684,76.65616157106726,-2.4058909724743778,244.74,0.3066903228434662
15281,1110,3.86,CALIFORNIA,-117.69629,34.93439,86.48569021260303,-0.3315042763437111,680.05,-0.301737546960931
15282,1110,3.86,CALIFORNIA,-117.68212,35.47954,144.73387349179026,-0.1853713386803638,511.0,-0.6366162870481512
15283,1110,3.86,CALIFORNIA,-117.36683,34.3656,18.739413331431084,0.105093505763537,365.0,-0.6770509333144591
15284,1110,3.86,CALIFORNIA,-116.369,33.818,103.13582199086966,1.9863547071152128,338.28,0.0948833663707733
15285,1110,3.86,CALIFORNIA,-117.562,34.005,26.713628528426,-2.496809735498129,335.43,0.8545572004137114
15286,1110,3.86,CALIFORNIA,-117.195,33.6,68.65257835026244,2.8773241019876536,622.32,1.084763707973175
15287,1110,3.86,CALIFORNIA,-118.05832,34.22362,61.82298591529948,-1.5208055273095005,760.0,1.273416206621649
15288,1110,3.86,CALIFORNIA,-117.92372,33.94539,56.79972310784863,-2.0831778318150347,414.77,0.1253097800662975
15289,1110,3.86,CALIFORNIA,-118.7235,34.6145,131.1913555716056,-1.2039767645023127,416.52,-1.3563379267996434
15290,1110,3.86,CALIFORNIA,-117.63808,34.1207,24.570213314329383,-1.9241278146445584,388.68,-0.1250126568653943
15292,1110,3.86,CALIFORNIA,-116.863,33.354,105.4607155021561,2.659596035500563,465.0,-0.9683405316485306
15293,1110,3.86,CALIFORNIA,-117.60906,33.7953,49.06795075944448,-2.7116358796492017,699.0,-0.0775524926509157
15295,1110,3.86,CALIFORNIA,-117.80709,34.09181,40.376165061679615,-1.86363414545488,462.66,-0.7317936236110658
15296,1110,3.86,CALIFORNIA,-118.40412,33.74346,106.54722530654487,-2.058276064250203,529.99,1.0830580098774811
15297,1110,3.86,CALIFORNIA,-116.99684,34.87533,83.32488416754748,0.4438505826159446,372.0,0.2797169249466362
15298,1110,3.86,CALIFORNIA,-117.32674,33.97327,25.52188210946887,2.9171687478577173,360.0,-0.148281606001449
15299,1110,3.86,CALIFORNIA,-118.08085,34.05073,65.9410888423374,-1.8170483021785733,278.64,0.1906375416623888
15300,1110,3.86,CALIFORNIA,-117.37545,33.99351,22.669056838167872,3.089604214171713,355.87,1.3612488806829397
15302,1110,3.86,CALIFORNIA,-117.235,34.232,14.624229875365227,1.3060619041930164,393.0,-0.1219001097707895
15303,1110,3.86,CALIFORNIA,-117.662,33.553,75.85388024525,-2.799761714950502,420.96,-1.316987646773311
